object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.178, r_dist = 165.01, orig_r_dist = 165.01, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.041, r_dist = 11.08, orig_r_dist = 11.08, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.033, r_dist = 98.56, orig_r_dist = 98.56, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.143, r_dist = 114.79, orig_r_dist = 114.79, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.034, r_dist = 147.71, orig_r_dist = 147.71, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.039, r_dist = 172.90, orig_r_dist = 172.90, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.055, r_dist = 10.12, orig_r_dist = 10.12, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.053, r_dist = 16.52, orig_r_dist = 16.52, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.027, r_dist = 4.10, orig_r_dist = 4.10, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.035, r_dist = 11.49, orig_r_dist = 11.49, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.038, r_dist = 7.17, orig_r_dist = 7.17, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.163, r_dist = 146.39, orig_r_dist = 146.39, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.036, r_dist = 0.91, orig_r_dist = 0.91, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.033, r_dist = 12.97, orig_r_dist = 12.97, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.035, r_dist = 4.54, orig_r_dist = 4.54, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.035, r_dist = 11.90, orig_r_dist = 11.90, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.033, r_dist = 2.45, orig_r_dist = 2.45, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.038, r_dist = 3.19, orig_r_dist = 3.19, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.033, r_dist = 12.53, orig_r_dist = 12.53, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.037, r_dist = 42.23, orig_r_dist = 42.23, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.041, r_dist = 28.91, orig_r_dist = 28.91, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.027, r_dist = 11.71, orig_r_dist = 11.71, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.181, r_dist = 120.17, orig_r_dist = 120.17, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.034, r_dist = 4.49, orig_r_dist = 4.49, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.029, r_dist = 5.19, orig_r_dist = 5.19, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.023, r_dist = 22.95, orig_r_dist = 22.95, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.032, r_dist = 8.15, orig_r_dist = 8.15, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.034, r_dist = 7.11, orig_r_dist = 7.11, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.038, r_dist = 17.16, orig_r_dist = 17.16, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.135, r_dist = 133.45, orig_r_dist = 133.45, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.403, r_dist = 134.21, orig_r_dist = 134.21, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.125, r_dist = 163.12, orig_r_dist = 163.12, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.155, r_dist = 136.00, orig_r_dist = 136.00, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.379, r_dist = 153.31, orig_r_dist = 153.31, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.030, r_dist = 7.39, orig_r_dist = 7.39, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.148, r_dist = 120.07, orig_r_dist = 120.07, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.035, r_dist = 5.11, orig_r_dist = 5.11, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.033, r_dist = 23.30, orig_r_dist = 23.30, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.037, r_dist = 23.91, orig_r_dist = 23.91, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.036, r_dist = 13.48, orig_r_dist = 13.48, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.033, r_dist = 5.63, orig_r_dist = 5.63, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.042, r_dist = 2.67, orig_r_dist = 2.67, total_time = 0.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 0.177, r_dist = 64.91, orig_r_dist = 64.91, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
object_name = linemod_duck, bin_id = A, item_counts = 3, state = 3, sample_number = 3, t_dist = 1.000, r_dist = 45.00, orig_r_dist = 0.00, total_time = 1.0000
